2026-04-23 01:59:25 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:12 - Fetching Understat data for EPL 2023
2026-04-23 01:59:26 | ERROR    | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:58 - Scrapling Error for EPL 2023: Could not find teamsData JSON in page content (Cloudflare Block or Empty Data)
Traceback (most recent call last):

  File "<string>", line 3, in <module>

> File "/app/src/ingestion/scrapers/understat_historical.py", line 29, in fetch_understat_historical_season
    raise Exception("Could not find teamsData JSON in page content (Cloudflare Block or Empty Data)")

Exception: Could not find teamsData JSON in page content (Cloudflare Block or Empty Data)
2026-04-23 02:22:12 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for La Liga...
2026-04-23 02:22:14 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2324...
2026-04-23 02:22:14 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for La_liga 2023
2026-04-23 02:22:15 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for La_liga 2023
2026-04-23 02:22:35 | INFO     | src.ingestion.historical:download_football_data_co_uk:155 - Successfully merged 30 out of 170 matches (Dropped 140 invalid matches).
2026-04-23 02:22:35 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for La Liga...
2026-04-23 02:22:36 | INFO     | src.ingestion.historical:download_football_data_co_uk:147 - Successfully merged 209 out of 380 matches (Dropped 171 invalid matches).
2026-04-23 02:22:36 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for Serie A...
2026-04-23 02:22:38 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2324...
2026-04-23 02:22:38 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for La_liga 2023
2026-04-23 02:22:39 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2324...
2026-04-23 02:22:39 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for Serie_A 2023
2026-04-23 02:22:39 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for La_liga 2023
2026-04-23 02:22:40 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for Serie_A 2023
2026-04-23 02:23:04 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for EPL 2023
2026-04-23 02:23:05 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for EPL 2023
2026-04-23 02:23:30 | INFO     | src.ingestion.historical:download_football_data_co_uk:155 - Successfully merged 210 out of 380 matches (Dropped 170 invalid matches).
2026-04-23 02:23:30 | INFO     | src.ingestion.historical:download_football_data_co_uk:68 - Processing Historical Data for Serie A...
2026-04-23 02:23:34 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2324...
2026-04-23 02:23:34 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for Serie_A 2023
2026-04-23 02:23:35 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for Serie_A 2023
2026-04-23 02:23:39 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for EPL 2023
2026-04-23 02:23:39 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for EPL 2023
2026-04-23 02:23:55 | INFO     | src.ingestion.historical:download_football_data_co_uk:155 - Successfully merged 210 out of 380 matches (Dropped 170 invalid matches).
2026-04-23 02:23:58 | INFO     | src.ingestion.historical:download_football_data_co_uk:94 - Processing 380 new matches for season 2223...
2026-04-23 02:23:58 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:9 - Fetching Understat API data for La_liga 2022
2026-04-23 02:23:59 | INFO     | src.ingestion.scrapers.understat_historical:fetch_understat_historical_season:41 - Successfully fetched 760 Understat records for La_liga 2022
2026-04-23 02:24:11 | INFO     | src.ingestion.historical:download_football_data_co_uk:147 - Successfully merged 340 out of 380 matches (Dropped 40 invalid matches).
